team Name,year,wins,losses,win %,goals for,goals agianst,plus minis
Bruins,1990,44,24,0.55,299,264,"
                            35
                        "
Sabres,1990,31,30,0.388,292,278,"
                            14
                        "
Flames,1990,46,26,0.575,344,263,"
                            81
                        "
Blackhawks,1990,49,23,0.613,284,211,"
                            73
                        "
Wings,1990,34,38,0.425,273,298,"
                            -25
                        "
Oilers,1990,37,37,0.463,272,272,"
                            0
                        "
Whalers,1990,31,38,0.388,238,276,"
                            -38
                        "
Kings,1990,46,24,0.575,340,254,"
                            86
                        "
Stars,1990,27,39,0.338,256,266,"
                            -10
                        "
Canadiens,1990,39,30,0.487,273,249,"
                            24
                        "
Devils,1990,32,33,0.4,272,264,"
                            8
                        "
Islanders,1990,25,45,0.312,223,290,"
                            -67
                        "
Rangers,1990,36,31,0.45,297,265,"
                            32
                        "
Flyers,1990,33,37,0.412,252,267,"
                            -15
                        "
Penguins,1990,41,33,0.512,342,305,"
                            37
                        "
Nordiques,1990,16,50,0.2,236,354,"
                            -118
                        "
Blues,1990,47,22,0.588,310,250,"
                            60
                        "
Leafs,1990,23,46,0.287,241,318,"
                            -77
                        "
Canucks,1990,28,43,0.35,243,315,"
                            -72
                        "
Capitals,1990,37,36,0.463,258,258,"
                            0
                        "
Jets,1990,26,43,0.325,260,288,"
                            -28
                        "
Bruins,1991,36,32,0.45,270,275,"
                            -5
                        "
Sabres,1991,31,37,0.388,289,299,"
                            -10
                        "
Flames,1991,31,37,0.388,296,305,"
                            -9
                        "
Blackhawks,1991,36,29,0.45,257,236,"
                            21
                        "
